mandi,item,category,min_price,max_price,retail_price,unit
شکَرگڑھ,بنولا,Grain,2400.0,2700.0,3000.0,Mann
شکَرگڑھ,شکر,Grain,167.0,178.0,200.0,KG
شکَرگڑھ,کنولا,Grain,7200.0,7600.0,8100.0,Mann
شکَرگڑھ,کپاس,Grain,7900.0,8950.0,9650.0,Mann
شکَرگڑھ,سونف,Grain,690.0,750.0,840.0,KG
شکَرگڑھ,سونف درجہ اول,Grain,880.0,970.0,1100.0,KG
شکَرگڑھ,سونف درجہ دوئم,Grain,780.0,830.0,940.0,KG
شکَرگڑھ,السی,Grain,340.0,370.0,440.0,KG
شکَرگڑھ,کالا چنا,Grain,245.0,270.0,350.0,KG
شکَرگڑھ,چنا دیسی,Grain,115.0,120.0,150.0,KG
شکَرگڑھ,بیسن,Grain,248.0,278.0,360.0,KG
شکَرگڑھ,چنا دال,Grain,258.0,290.0,360.0,KG
شکَرگڑھ,چنا سفید,Grain,270.0,282.0,360.0,KG
شکَرگڑھ,گڑ,Grain,180.0,195.0,220.0,KG
شکَرگڑھ,کھل بنولا,Grain,2600.0,2800.0,3100.0,Mann
شکَرگڑھ,مکئی,Grain,1800.0,2360.0,2550.0,Mann
شکَرگڑھ,مکئی سایلیج,Grain,18.0,21.0,27.0,KG
شکَرگڑھ,ماش,Grain,382.0,395.0,420.0,KG
شکَرگڑھ,ماش دال دیسی,Grain,230.0,240.0,320.0,KG
شکَرگڑھ,ماش دال امپورٹڈ,Grain,440.0,475.0,600.0,KG
شکَرگڑھ,مسور دال دیسی,Grain,240.0,248.0,350.0,KG
شکَرگڑھ,مسور دال امپورٹڈ,Grain,245.0,263.0,330.0,KG
شکَرگڑھ,مسور ثابت امپورٹڈ,Grain,122.0,126.0,170.0,KG
شکَرگڑھ,باجرہ,Grain,4400.0,4750.0,4900.0,Mann
شکَرگڑھ,مونگ دال,Grain,330.0,365.0,400.0,KG
شکَرگڑھ,سرسوں,Grain,5650.0,5950.0,6250.0,Mann
شکَرگڑھ,پیڈی باسمتی سپر,Grain,5200.0,5600.0,6000.0,Mann
شکَرگڑھ,پیڈی اری 6,Grain,2080.0,2280.0,2500.0,Mann
شکَرگڑھ,پیڈی اری 9,Grain,2440.0,2680.0,2950.0,Mann
شکَرگڑھ,پیڈی کائنات,Grain,4250.0,4580.0,4950.0,Mann
شکَرگڑھ,سیلا باسمتی,Grain,263.0,276.0,350.0,KG
شکَرگڑھ,سیلا باسمتی سپر,Grain,268.0,290.0,370.0,KG
شکَرگڑھ,سیلا کائنات,Grain,268.0,300.0,370.0,KG
شکَرگڑھ,مونگ پھلی,Grain,340.0,450.0,670.0,KG
شکَرگڑھ,لال لوبیا,Grain,540.0,575.0,620.0,KG
شکَرگڑھ,چاول باسمتی,Grain,245.0,260.0,320.0,KG
شکَرگڑھ,چاول باسمتی سپر,Grain,255.0,276.0,340.0,KG
شکَرگڑھ,چاول اری 6,Grain,160.0,168.0,190.0,KG
شکَرگڑھ,چاول اری 9,Grain,180.0,188.0,220.0,KG
شکَرگڑھ,چاول کائنات,Grain,235.0,250.0,340.0,KG
شکَرگڑھ,صنم سوکھی لال مرچ,Grain,19000.0,26000.0,28000.0,Mann
شکَرگڑھ,تل,Grain,13300.0,14900.0,16000.0,Mann
شکَرگڑھ,سورگم,Grain,3500.0,4200.0,4600.0,Mann
شکَرگڑھ,سورج مکھی,Grain,5850.0,6400.0,6800.0,Mann
شکَرگڑھ,گندم,Grain,2270.0,2350.0,2650.0,Mann
شکَرگڑھ,توڑی,Grain,960.0,1080.0,1200.0,Mann
شکَرگڑھ,چینی,Grain,157.0,164.0,175.0,KG
ظفر وال,بنولا,Grain,2450.0,2750.0,3000.0,Mann
ظفر وال,شکر,Grain,170.0,184.0,210.0,KG
ظفر وال,کنولا,Grain,7600.0,8000.0,8500.0,Mann
ظفر وال,کپاس,Grain,7950.0,9000.0,9700.0,Mann
ظفر وال,سونف,Grain,700.0,755.0,850.0,KG
ظفر وال,سونف درجہ اول,Grain,890.0,980.0,1120.0,KG
ظفر وال,سونف درجہ دوئم,Grain,790.0,840.0,950.0,KG
ظفر وال,السی,Grain,345.0,375.0,450.0,KG
ظفر وال,کالا چنا,Grain,250.0,276.0,350.0,KG
ظفر وال,چنا دیسی,Grain,115.0,120.0,150.0,KG
ظفر وال,بیسن,Grain,252.0,285.0,360.0,KG
ظفر وال,چنا دال,Grain,262.0,295.0,360.0,KG
ظفر وال,چنا سفید,Grain,275.0,288.0,360.0,KG
ظفر وال,گڑ,Grain,182.0,195.0,220.0,KG
ظفر وال,کھل بنولا,Grain,2600.0,2900.0,3100.0,Mann
ظفر وال,مکئی,Grain,1850.0,2380.0,2600.0,Mann
ظفر وال,مکئی سایلیج,Grain,20.0,23.0,28.0,KG
ظفر وال,ماش,Grain,378.0,390.0,410.0,KG
ظفر وال,ماش دال دیسی,Grain,230.0,240.0,320.0,KG
ظفر وال,ماش دال امپورٹڈ,Grain,445.0,480.0,610.0,KG
ظفر وال,مسور دال دیسی,Grain,215.0,225.0,290.0,KG
ظفر وال,مسور دال امپورٹڈ,Grain,250.0,268.0,340.0,KG
ظفر وال,مسور ثابت امپورٹڈ,Grain,122.0,126.0,170.0,KG
ظفر وال,باجرہ,Grain,4450.0,4800.0,4950.0,Mann
ظفر وال,مونگ,Grain,266.0,277.0,320.0,KG
ظفر وال,مونگ دال,Grain,335.0,370.0,400.0,KG
ظفر وال,سرسوں,Grain,5700.0,6000.0,6300.0,Mann
ظفر وال,پیڈی باسمتی سپر,Grain,5000.0,5450.0,5700.0,Mann
ظفر وال,پیڈی اری 6,Grain,2100.0,2300.0,2600.0,Mann
ظفر وال,پیڈی اری 9,Grain,2550.0,2700.0,3000.0,Mann
ظفر وال,پیڈی کائنات,Grain,4280.0,4600.0,5000.0,Mann
ظفر وال,سیلا باسمتی,Grain,266.0,280.0,360.0,KG
ظفر وال,سیلا باسمتی سپر,Grain,270.0,295.0,380.0,KG
ظفر وال,سیلا کائنات,Grain,273.0,303.0,380.0,KG
ظفر وال,مونگ پھلی,Grain,260.0,380.0,600.0,KG
ظفر وال,لال لوبیا,Grain,545.0,580.0,630.0,KG
ظفر وال,چاول باسمتی,Grain,250.0,265.0,330.0,KG
ظفر وال,چاول باسمتی سپر,Grain,260.0,282.0,350.0,KG
ظفر وال,چاول اری 6,Grain,163.0,170.0,200.0,KG
ظفر وال,چاول اری 9,Grain,183.0,190.0,220.0,KG
ظفر وال,چاول کائنات,Grain,238.0,255.0,330.0,KG
ظفر وال,صنم سوکھی لال مرچ,Grain,19000.0,26500.0,28000.0,Mann
ظفر وال,تل,Grain,13400.0,15000.0,16200.0,Mann
ظفر وال,سورگم,Grain,4300.0,5500.0,5800.0,Mann
ظفر وال,سورج مکھی,Grain,5900.0,6450.0,6850.0,Mann
ظفر وال,گندم,Grain,2280.0,2360.0,2700.0,Mann
ظفر وال,توڑی,Grain,980.0,1100.0,1250.0,Mann
ظفر وال,چینی,Grain,159.0,166.0,175.0,KG
نارووال,بنولا,Grain,2300.0,2600.0,2900.0,Mann
نارووال,شکر,Grain,165.0,176.0,200.0,KG
نارووال,کنولا,Grain,6250.0,6550.0,6850.0,Mann
نارووال,کپاس,Grain,7850.0,8900.0,9600.0,Mann
نارووال,سونف,Grain,680.0,745.0,830.0,KG
نارووال,سونف درجہ اول,Grain,870.0,960.0,1080.0,KG
نارووال,سونف درجہ دوئم,Grain,770.0,820.0,930.0,KG
نارووال,السی,Grain,335.0,366.0,430.0,KG
نارووال,کالا چنا,Grain,240.0,265.0,340.0,KG
نارووال,چنا دیسی,Grain,135.0,145.0,200.0,KG
نارووال,بیسن,Grain,245.0,275.0,350.0,KG
نارووال,چنا دال,Grain,255.0,285.0,350.0,KG
نارووال,چنا سفید,Grain,265.0,277.0,350.0,KG
نارووال,چارہ,Grain,170.0,180.0,220.0,KG
نارووال,گڑ,Grain,175.0,190.0,210.0,KG
نارووال,کھل بنولا,Grain,2550.0,2700.0,3000.0,Mann
نارووال,مکئی,Grain,1780.0,2230.0,2500.0,Mann
نارووال,مکئی سایلیج,Grain,17.0,19.0,25.0,KG
نارووال,ماش,Grain,375.0,388.0,410.0,KG
نارووال,ماش دال دیسی,Grain,230.0,240.0,320.0,KG
نارووال,ماش دال امپورٹڈ,Grain,435.0,470.0,590.0,KG
نارووال,مسور دال دیسی,Grain,215.0,225.0,290.0,KG
نارووال,مسور دال امپورٹڈ,Grain,240.0,258.0,320.0,KG
نارووال,مسور ثابت دیسی,Grain,190.0,195.0,220.0,KG
نارووال,مسور ثابت امپورٹڈ,Grain,122.0,126.0,170.0,KG
نارووال,باجرہ,Grain,4300.0,4700.0,4850.0,Mann
نارووال,مونگ,Grain,266.0,277.0,320.0,KG
نارووال,مونگ دال,Grain,325.0,360.0,390.0,KG
نارووال,سرسوں,Grain,5600.0,5900.0,6200.0,Mann
نارووال,پیڈی باسمتی سپر,Grain,4900.0,5400.0,5700.0,Mann
نارووال,پیڈی اری 6,Grain,2050.0,2250.0,2500.0,Mann
نارووال,پیڈی اری 9,Grain,2400.0,2650.0,2950.0,Mann
نارووال,پیڈی کائنات,Grain,4200.0,4550.0,4950.0,Mann
نارووال,سیلا باسمتی,Grain,260.0,273.0,350.0,KG
نارووال,سیلا باسمتی سپر,Grain,265.0,288.0,370.0,KG
نارووال,سیلا کائنات,Grain,266.0,296.0,370.0,KG
نارووال,مونگ پھلی,Grain,330.0,440.0,660.0,KG
نارووال,لال لوبیا,Grain,535.0,570.0,620.0,KG
نارووال,چاول باسمتی,Grain,240.0,256.0,320.0,KG
نارووال,چاول باسمتی سپر,Grain,250.0,273.0,340.0,KG
نارووال,چاول اری 6,Grain,158.0,166.0,180.0,KG
نارووال,چاول اری 9,Grain,178.0,185.0,210.0,KG
نارووال,چاول کائنات,Grain,230.0,245.0,330.0,KG
نارووال,صنم سوکھی لال مرچ,Grain,17500.0,24000.0,25500.0,Mann
نارووال,تل,Grain,13200.0,14800.0,15900.0,Mann
نارووال,سورگم,Grain,4300.0,5500.0,5800.0,Mann
نارووال,سورج مکھی,Grain,5800.0,6350.0,6750.0,Mann
نارووال,گندم,Grain,2260.0,2340.0,2600.0,Mann
نارووال,توڑی,Grain,950.0,1070.0,1200.0,Mann
نارووال,چینی,Grain,155.0,162.0,170.0,KG
پسرور,بنولا,Grain,2350.0,2520.0,2800.0,Mann
پسرور,شکر,Grain,175.0,188.0,220.0,KG
پسرور,کنولا,Grain,6200.0,6700.0,7000.0,Mann
پسرور,زندہ مرغی,Grain,6200.0,6700.0,7000.0,Mann
پسرور,کپاس,Grain,8950.0,9800.0,10800.0,Mann
پسرور,ڈیلٹا بیج,Grain,8200.0,9500.0,10500.0,Mann
پسرور,سونف,Grain,740.0,820.0,930.0,KG
پسرور,سونف درجہ اول,Grain,970.0,1050.0,1220.0,KG
پسرور,سونف درجہ دوئم,Grain,880.0,940.0,1030.0,KG
پسرور,السی,Grain,355.0,380.0,450.0,KG
پسرور,کالا چنا,Grain,298.0,318.0,390.0,KG
پسرور,چنا دیسی,Grain,194.0,203.0,230.0,KG
پسرور,بیسن,Grain,312.0,328.0,390.0,KG
پسرور,چنا دال,Grain,292.0,322.0,380.0,KG
پسرور,چنا سفید,Grain,300.0,326.0,390.0,KG
پسرور,چارہ,Grain,278.0,292.0,370.0,KG
پسرور,گڑ,Grain,195.0,213.0,240.0,KG
پسرور,کھل بنولا,Grain,2650.0,2800.0,3100.0,Mann
پسرور,مکئی,Grain,1830.0,2350.0,2600.0,Mann
پسرور,مکئی سایلیج,Grain,20.0,25.0,32.0,KG
پسرور,ماش,Grain,380.0,398.0,430.0,KG
پسرور,ماش دال دیسی,Grain,208.0,215.0,280.0,KG
پسرور,ماش دال امپورٹڈ,Grain,500.0,540.0,620.0,KG
پسرور,مسور دال دیسی,Grain,340.0,345.0,390.0,KG
پسرور,مسور دال امپورٹڈ,Grain,258.0,273.0,320.0,KG
پسرور,باجرہ,Grain,4550.0,4850.0,5000.0,Mann
پسرور,مونگ,Grain,288.0,305.0,360.0,KG
پسرور,مونگ دال,Grain,350.0,376.0,420.0,KG
پسرور,سرسوں,Grain,5800.0,6200.0,6500.0,Mann
پسرور,چھوٹا گوشت,Grain,7700.0,8500.0,9200.0,Mann
پسرور,پیڈی باسمتی سپر,Grain,5150.0,5700.0,6200.0,Mann
پسرور,پیڈی اری 6,Grain,2040.0,2300.0,2600.0,Mann
پسرور,پیڈی اری 9,Grain,2480.0,2700.0,2900.0,Mann
پسرور,پیڈی کائنات,Grain,4150.0,4500.0,4800.0,Mann
پسرور,سیلا باسمتی,Grain,265.0,285.0,350.0,KG
پسرور,سیلا باسمتی سپر,Grain,275.0,295.0,360.0,KG
پسرور,سیلا کائنات,Grain,262.0,290.0,360.0,KG
پسرور,مونگ پھلی,Grain,440.0,580.0,740.0,KG
پسرور,گوہر بیج,Grain,13000.0,16000.0,18000.0,Mann
پسرور,لال لوبیا,Grain,545.0,575.0,640.0,KG
پسرور,چاول باسمتی,Grain,245.0,266.0,320.0,KG
پسرور,چاول باسمتی سپر,Grain,245.0,266.0,350.0,KG
پسرور,چاول اری 6,Grain,165.0,174.0,190.0,KG
پسرور,چاول اری 9,Grain,180.0,190.0,220.0,KG
پسرور,چاول کائنات,Grain,245.0,275.0,340.0,KG
پسرور,صنم سوکھی لال مرچ,Grain,18500.0,24500.0,26000.0,Mann
پسرور,تل,Grain,13200.0,15800.0,16800.0,Mann
پسرور,سورگم,Grain,3400.0,4200.0,4500.0,Mann
پسرور,سورج مکھی,Grain,5700.0,6800.0,7300.0,Mann
پسرور,گندم,Grain,2360.0,2550.0,2800.0,Mann
پسرور,توڑی,Grain,1030.0,1080.0,1300.0,Mann
پسرور,چینی,Grain,164.0,172.0,180.0,KG
سیالکوٹ,بنولا,Grain,2250.0,2450.0,2700.0,Mann
سیالکوٹ,شکر,Grain,170.0,185.0,210.0,KG
سیالکوٹ,کنولا,Grain,6600.0,7000.0,7300.0,Mann
سیالکوٹ,کپاس,Grain,8850.0,9650.0,10600.0,Mann
سیالکوٹ,سونف,Grain,730.0,810.0,920.0,KG
سیالکوٹ,سونف درجہ اول,Grain,960.0,1040.0,1200.0,KG
سیالکوٹ,سونف درجہ دوئم,Grain,860.0,920.0,1020.0,KG
سیالکوٹ,السی,Grain,345.0,370.0,440.0,KG
سیالکوٹ,کالا چنا,Grain,290.0,310.0,380.0,KG
سیالکوٹ,چنا دیسی,Grain,118.0,121.0,150.0,KG
سیالکوٹ,بیسن,Grain,300.0,318.0,380.0,KG
سیالکوٹ,چنا دال,Grain,280.0,310.0,370.0,KG
سیالکوٹ,چنا سفید,Grain,290.0,315.0,380.0,KG
سیالکوٹ,گڑ,Grain,175.0,195.0,220.0,KG
سیالکوٹ,کھل بنولا,Grain,2600.0,2750.0,3000.0,Mann
سیالکوٹ,مکئی,Grain,1920.0,2440.0,2650.0,Mann
سیالکوٹ,مکئی سایلیج,Grain,20.0,26.0,32.0,KG
سیالکوٹ,ماش,Grain,375.0,392.0,420.0,KG
سیالکوٹ,ماش دال دیسی,Grain,208.0,215.0,280.0,KG
سیالکوٹ,ماش دال امپورٹڈ,Grain,495.0,530.0,600.0,KG
سیالکوٹ,مسور دال دیسی,Grain,330.0,342.0,380.0,KG
سیالکوٹ,مسور دال امپورٹڈ,Grain,250.0,265.0,310.0,KG
سیالکوٹ,باجرہ,Grain,4450.0,4770.0,4950.0,Mann
سیالکوٹ,مونگ,Grain,280.0,295.0,340.0,KG
سیالکوٹ,مونگ دال,Grain,340.0,365.0,400.0,KG
سیالکوٹ,سرسوں,Grain,5800.0,6300.0,6600.0,Mann
سیالکوٹ,پیڈی باسمتی سپر,Grain,5150.0,5650.0,6000.0,Mann
سیالکوٹ,پیڈی اری 6,Grain,2000.0,2250.0,2550.0,Mann
سیالکوٹ,پیڈی اری 9,Grain,2400.0,2650.0,2900.0,Mann
سیالکوٹ,پیڈی کائنات,Grain,4100.0,4450.0,4750.0,Mann
سیالکوٹ,سیلا باسمتی,Grain,255.0,275.0,340.0,KG
سیالکوٹ,سیلا باسمتی سپر,Grain,265.0,286.0,360.0,KG
سیالکوٹ,سیلا کائنات,Grain,255.0,280.0,350.0,KG
سیالکوٹ,مونگ پھلی,Grain,420.0,560.0,720.0,KG
سیالکوٹ,لال لوبیا,Grain,536.0,565.0,620.0,KG
سیالکوٹ,چاول باسمتی,Grain,235.0,256.0,310.0,KG
سیالکوٹ,چاول باسمتی سپر,Grain,235.0,255.0,340.0,KG
سیالکوٹ,چاول اری 6,Grain,162.0,173.0,190.0,KG
سیالکوٹ,چاول اری 9,Grain,178.0,186.0,210.0,KG
سیالکوٹ,چاول کائنات,Grain,235.0,265.0,320.0,KG
سیالکوٹ,صنم سوکھی لال مرچ,Grain,18000.0,23500.0,24500.0,Mann
سیالکوٹ,تل,Grain,12900.0,15600.0,16600.0,Mann
سیالکوٹ,سورگم,Grain,3300.0,4000.0,4300.0,Mann
سیالکوٹ,سورج مکھی,Grain,5600.0,6700.0,7200.0,Mann
سیالکوٹ,گندم,Grain,2340.0,2520.0,2700.0,Mann
سیالکوٹ,توڑی,Grain,1010.0,1160.0,1300.0,Mann
سیالکوٹ,چینی,Grain,160.0,168.0,180.0,KG
